v1,v2
ham,Hey how are you doing today
ham,Let's meet at 5 pm
ham,Call me when you reach home
ham,Are you coming to class today
ham,Can you send me the notes
ham,I will call you later
ham,Let's go for lunch tomorrow
ham,Did you complete the assignment
ham,Where are you right now
ham,See you in the evening

spam,Congratulations you have won a lottery
spam,Win cash prize now click here
spam,You have been selected for a free gift
spam,Claim your reward now limited offer
spam,Get free recharge instantly
spam,You won 5000 rupees click now
spam,Exclusive offer just for you hurry up
spam,Free entry in a contest win big prizes
spam,Click this link to claim your prize
spam,Act now to receive your reward
